CustomerID,ActualChurn,PredictedChurn,ChurnProbability,ActualCLV,PredictedCLV,RetentionPriorityScore
33554,0,0,0.23499238135269448,3658.58,5567.355833333336,1308.2862051128154
9428,0,0,0.1492250756400472,1472.45,1824.8419666666668,272.31218050696583
200,0,0,0.2410142432522989,4058.88,4279.308866666661,1031.374388142518
12448,1,0,0.16203223431161676,1538.06,1645.6006666666674,266.6403528046862
39490,0,0,0.15337714464997124,6984.44,13470.592433333319,2066.0810041681725
42725,0,0,0.16499426080412302,5663.51,4218.576699999993,696.0409442619955
10823,0,0,0.18551144458237756,20282.34,11841.16900000002,2196.6723667340707
49499,0,0,0.15682926450203197,2673.13,2707.8087999999975,424.66366251612936
4145,1,0,0.33059547060866956,6031.41,5183.3763,1713.6007272403244
36959,0,0,0.1665549790603647,9323.74,7396.1928666666645,1231.8727480340851
43107,0,0,0.34056216596974753,14692.85,11882.286299999996,4046.657159000656
38696,0,0,0.1685321161951372,3097.04,5592.813766666671,942.5687395816303
6189,1,0,0.2995602695686717,13576.36,8982.61169999999,2690.8335822827016
1415,0,0,0.14733252482892395,6361.63,14565.698799999993,2146.0011801016267
18472,1,0,0.28531372837304675,14975.82,13237.453633333327,3776.8272502916657
29283,1,0,0.15826658859264064,15312.37,14136.760699999993,2237.3768897395094
15178,0,0,0.3648068408170893,21863.51,12966.688466666665,4730.336655384054
34305,1,0,0.2654018876152917,12173.85,14184.431066666672,3764.5747798423204
12610,0,0,0.32788500580534247,8784.9,7020.255133333332,2301.836395147985
12145,0,0,0.20562492519732803,2673.27,8745.087766666658,1798.2080178649
6114,0,0,0.12211148231695458,7126.5,9500.135366666675,1160.0756118353925
15909,1,0,0.22863429078958677,15634.72,9685.524833333335,2214.443101194098
822,1,0,0.20999264547532592,4296.07,7006.100666666672,1471.229613459779
15119,0,0,0.2871205676415683,21036.43,13068.569466666662,3752.2550835325997
13467,1,0,0.33397503098362646,8538.5,5985.182866666664,1998.9016333376694
26498,1,0,0.2966225364484259,10011.51,6297.66896666667,1868.030542605205
42112,0,0,0.15950843087442715,11202.94,9071.47486666667,1446.9767216988037
30189,0,0,0.30240066313751557,13833.28,9559.476433333342,2890.7920126874546
37238,0,0,0.1281575838230559,5753.49,6310.938099999999,808.794578552867
33110,0,0,0.16483816727650072,18294.47,16208.787700000004,2671.826858241888
36481,0,0,0.15574623382862537,13972.04,10584.258400000002,1648.4583836689926
24149,1,0,0.3123275457923872,10238.44,6294.210099999991,1965.8551932346531
5504,0,0,0.30223048975901184,2481.54,1534.1009000000013,463.65206634674126
3919,0,0,0.16735374883091517,2204.79,2460.1021333333383,411.7073145202661
38479,1,0,0.16486240463255172,6546.08,4239.825633333332,698.9878491340646
21124,0,0,0.17551317463435478,2500.54,5392.207966666663,946.4035385183251
49718,0,0,0.15390369529109615,9088.46,10564.534900000008,1625.9209601417522
42295,0,0,0.15127181808237772,6104.96,6850.190100000002,1036.240710636905
47610,1,0,0.31366819357508635,17696.63,11689.642866666656,3666.669161525224
11077,1,0,0.2379874299834421,19250.05,11927.696733333327,2838.6418911878964
41515,0,0,0.18124362142497652,3029.17,8538.31856666667,1547.5157779027822
22063,1,0,0.4144081777929752,557.23,688.713733333333,285.4086032516636
9414,0,0,0.16074559759707907,11876.3,10892.24303333335,1750.8801155657907
38341,1,0,0.2991351899640455,11798.67,14425.74806666666,4315.248888295793
30264,0,0,0.2831266474612076,8985.92,7559.931599999995,2140.4180889440418
41253,0,0,0.2906231337746948,1308.42,1219.729166666667,354.48151277306374
14645,0,0,0.1547575517520797,3577.38,8895.033266666653,1376.573571102635
26336,0,0,0.18170135250157252,2205.77,1824.1263666666669,331.44622795711274
28103,0,0,0.29948567175575497,3983.91,15088.38260000001,4518.754398668848
17524,0,0,0.3322309603481733,465.03,2172.937566666667,721.9171345502896
24713,0,0,0.21907719383149402,2825.82,4340.880666666664,950.9879552107177
40486,1,0,0.24150430875883433,9031.39,12160.651733333338,2936.849790915588
3851,1,0,0.3188182669155382,4412.23,2298.6053000000024,732.8373580688716
40041,0,0,0.3124283582180041,17504.86,12500.768899999992,3905.594703889682
15268,0,0,0.3143646476306244,9178.44,6947.877166666669,2184.1669572800283
49147,0,0,0.15984144720665452,12479.43,9318.307733333328,1489.4517936129596
30002,1,0,0.1322284370378398,6050.8,6736.757366666659,890.7908972974858
45927,0,0,0.3083281600229573,11440.28,10899.242466666683,3360.543375391417
43825,1,0,0.38762330946515444,11014.99,11689.209066666672,4531.009903451424
17241,0,0,0.17428122531977097,10113.99,5031.89203333334,876.9643092461283
4893,0,0,0.21826661404083683,9909.0,9193.0747,2006.5412873934818
726,1,0,0.14623037330232172,5734.55,13013.477466666656,1902.9656679120171
22950,0,0,0.1924766992391811,7623.61,11193.814066666646,2154.5483834491106
34658,0,0,0.14791024831989455,16975.38,11250.111366666673,1664.006765870136
37214,0,0,0.20417863136214295,5001.86,15567.910766666666,3178.6347135059696
20305,0,0,0.19780668851982283,3521.59,7774.634233333335,1537.8746521485186
15270,1,0,0.36117690206646946,3959.07,4915.7556333333305,1775.4573909631279
22368,1,0,0.49158349529932527,6090.8,8068.757433333331,3966.4679818004115
42685,0,0,0.13234932594264248,4585.91,10185.596300000014,1348.0568046288752
46735,0,0,0.18040759164423906,8039.8,9039.341200000003,1630.7657759425463
11733,0,0,0.380622331337396,3743.1,11566.09566666666,4402.314297118018
18620,0,0,0.1833352400663669,9832.02,7441.423733333341,1364.2752065862283
48493,0,0,0.19443260590268216,7425.16,15197.561000000009,2954.901388594974
26804,1,0,0.3086638816503285,3741.42,2212.6547666666647,682.9666090314346
44306,0,0,0.2654092279048829,105.56,310.49603333333306,82.40851247452872
47523,1,0,0.41503133845624535,314.7,620.1080999999996,257.36429473055904
32208,1,0,0.15114874124688757,14963.02,8845.989733333323,1337.0602132762224
2531,0,0,0.14759022626450743,2180.12,1980.2725666666663,292.26887617973017
17747,0,0,0.20357167700726064,2318.93,2874.092033333333,585.0837350988743
8271,0,0,0.35632680306772563,6850.05,11457.183066666661,4082.501414307012
15080,0,0,0.19870700287412257,5168.97,5011.22593333333,995.7656859377437
13625,0,0,0.1677650011342098,2894.04,4756.445066666667,797.96501200414
30639,0,0,0.17860105718755406,7131.05,5200.571633333335,928.8275916929384
